user_id,url,session_id,timestamp,page_views,session_length_seconds,is_bounce
u116,/terms,sess_1460,2024-01-01 09:31:35,20,1422,0
u077,/about,sess_1461,2024-01-01 23:51:18,10,2359,0
u014,/privacy,sess_1462,2024-01-01 15:23:40,2,1306,0
u127,/login,sess_1463,2024-01-01 19:16:00,8,1995,0
u114,/home,sess_1464,2024-01-01 15:15:05,5,1725,0
u014,/terms,sess_1465,2024-01-01 21:46:06,20,1216,0
u146,/terms,sess_1466,2024-01-01 01:34:09,14,3298,0
u160,/signup,sess_1467,2024-01-01 22:54:23,8,499,0
u064,/signup,sess_1468,2024-01-01 10:15:58,2,382,0
u183,/product,sess_1469,2024-01-01 00:50:17,10,776,0
u009,/pricing,sess_1470,2024-01-01 01:56:50,19,1202,0
u059,/terms,sess_1471,2024-01-01 15:57:17,11,745,0
u054,/login,sess_1472,2024-01-01 10:00:28,15,603,0
u151,/pricing,sess_1473,2024-01-01 16:46:16,11,3208,0
u193,/blog,sess_1474,2024-01-01 22:03:44,20,24,0
u198,/about,sess_1475,2024-01-01 10:29:55,17,584,0
u179,/privacy,sess_1476,2024-01-01 18:30:12,6,2386,0
u161,/product,sess_1477,2024-01-01 20:12:32,2,3091,0
u118,/product,sess_1478,2024-01-01 13:13:44,3,1368,0
u070,/checkout,sess_1479,2024-01-01 07:46:58,6,2071,0
u108,/faq,sess_1480,2024-01-01 22:34:07,5,766,0
u136,/home,sess_1481,2024-01-01 23:11:00,19,2673,0
u092,/about,sess_1482,2024-01-01 03:30:33,6,2746,0
u103,/contact,sess_1483,2024-01-01 05:43:32,6,1635,0
u083,/blog,sess_1484,2024-01-01 01:58:55,8,2180,0
u152,/contact,sess_1485,2024-01-01 01:32:55,3,726,0
u186,/product,sess_1486,2024-01-01 04:00:09,6,2073,0
u159,/terms,sess_1487,2024-01-01 05:14:04,8,2679,0
u154,/about,sess_1488,2024-01-01 05:29:24,4,1896,0
u056,/home,sess_1489,2024-01-01 04:38:57,18,2666,0
u195,/contact,sess_1490,2024-01-01 05:09:28,7,1457,0
u027,/checkout,sess_1491,2024-01-01 17:17:53,1,2853,1
u173,/cart,sess_1492,2024-01-01 19:19:51,17,495,0
u138,/login,sess_1493,2024-01-01 11:16:10,11,1157,0
u031,/blog,sess_1494,2024-01-01 05:39:41,18,2206,0
u144,/home,sess_1495,2024-01-01 11:50:19,5,3420,0
u113,/blog,sess_1496,2024-01-01 02:42:47,2,304,0
u036,/about,sess_1497,2024-01-01 07:04:42,18,1545,0
u043,/blog,sess_1498,2024-01-01 10:59:15,14,1070,0
u169,/product,sess_1499,2024-01-01 11:13:01,19,3430,0
u074,/checkout,sess_1500,2024-01-01 01:31:25,5,13,0
u130,/terms,sess_1501,2024-01-01 22:34:39,14,3023,0
u119,/about,sess_1502,2024-01-01 00:00:19,12,2240,0
u107,/checkout,sess_1503,2024-01-01 02:42:21,10,2636,0
u095,/product,sess_1504,2024-01-01 07:16:36,9,2201,0
